public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.412953 53.3206571),clinic,Nangor Medical Center,,,
POINT (-6.2756693 53.3320684),doctors,Dr. Michael Burnell,South Circular Road,,Dublin
POINT (-6.3710863 53.3314152),pharmacy,Park West Pharmacy,,,
POINT (-6.2637722 53.3407717),library,Mercer Library,,,
POINT (-6.2636357 53.3406704),clinic,Mercer's Medical Centre,Stephens Street Lower,,
POINT (-6.2790587 53.3434956),library,Edward Murphy Library,,,
POINT (-6.27857 53.3434122),library,National Irish Visual Arts Library,,,
POINT (-6.2660518 53.342846),police,Garda National Drugs Unit,,,Dublin
POINT (-6.2692022 53.3327572),bank,St. Kevin's Parish Credit Union Ltd,Curzon Street,,Dublin
POINT (-6.2619528 53.3441345),bank,KBC (Closed),College Green,KBC,Dublin
POINT (-6.5299859 53.1703048),place_of_worship,Saint Patricks Well,,,
POINT (-6.3016376 53.3301709),pharmacy,Hickey's Pharmacy,Crumlin Road,,Dublin
POINT (-6.3418683 53.2813602),veterinary,MyVet,Firhouse Shopping Centre,,
POINT (-6.282155 53.3472867),clinic,HSE Benburn Street Health Center,Benburb Street,,Dublin
POINT (-6.3002237 53.3074371),pharmacy,Greenlea Pharmacy,Greenlea Road,,Dublin
POINT (-6.2999975 53.3074787),post_office,Greenlea Road Post Office,Greenlea Road,An Post,
POINT (-6.3003972 53.307406),doctors,Greenlea Clinic,Greenlea Road,,Dublin
POINT (-6.4452483 53.2795264),pharmacy,Saggart Pharmacy,,,
POINT (-6.6300825 53.186436),police,Punchestown Garda Station,,,Punchestown
POINT (-6.6301261 53.1852859),clinic,Medical Centre,,,
POINT (-6.2755189 53.3450656),courthouse,Taxing Master,Merchant's Quay,,Dublin
POINT (-6.5316248 53.1717053),pharmacy,Highfield Pharmacy,Main Street,,
POINT (-6.2959123 53.3146556),pharmacy,,,,
POINT (-6.2642529 53.3503299),library,Central Library,,,
POINT (-6.2909526 53.3341059),post_office,Dolphin’s Barn Post Office,Dolphin’s Barn Street,An Post,Dublin
POINT (-6.296173 53.3307119),clinic,Daghda Amatsu Injury Clinic,,,
