public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
"POLYGON ((-6.2103641 53.3802277, -6.2102989 53.3801841, -6.2104319 53.3801139, -6.2104968 53.3801577, -6.2103641 53.3802277))",bank,,Malahide Road,,
"POLYGON ((-6.2074864 53.4034726, -6.2074247 53.4034713, -6.2074359 53.4032828, -6.2074976 53.4032841, -6.2074864 53.4034726))",pharmacy,,Clonshaugh Avenue,,Dublin
"POLYGON ((-6.1793376 53.3826532, -6.17903 53.3826657, -6.1788633 53.3820425, -6.1789232 53.3820405, -6.1802925 53.3821774, -6.1802626 53.3821979, -6.1799073 53.382442, -6.1798688 53.3824569, -6.1798185 53.3824586, -6.1797358 53.3824506, -6.1793613 53.3824144, -6.1793376 53.3826532))",school,Springdale National School,,,
"POLYGON ((-6.2218536 53.4551018, -6.2209534 53.4546617, -6.2215564 53.4542509, -6.2220289 53.4545009, -6.2219152 53.4546165, -6.2217399 53.4547632, -6.2220384 53.4549297, -6.2219626 53.4549946, -6.2218948 53.4550551, -6.2218678 53.4550792, -6.2218536 53.4551018))",school,River Valley Community National School,Main Street,,Swords
"POLYGON ((-6.2353578 53.3549873, -6.2353501 53.3549938, -6.2354073 53.3550178, -6.2353827 53.3550386, -6.2353256 53.3550146, -6.2352977 53.3550382, -6.2352384 53.3550135, -6.235179 53.3549884, -6.2352391 53.3549375, -6.2353578 53.3549873))",pharmacy,Fitzmaurice's Pharmacy,Church Road,,
"POLYGON ((-6.2351478 53.3551655, -6.2351176 53.3551911, -6.2349989 53.3551413, -6.2350291 53.3551156, -6.2351478 53.3551655))",post_office,Church Road Post Office,Church Road,,
"POLYGON ((-6.2348016 53.3552822, -6.2348673 53.3552293, -6.2350497 53.3553101, -6.2349979 53.3553518, -6.2349109 53.3553133, -6.234897 53.3553245, -6.2348016 53.3552822))",doctors,East Wall Medical Centre,Church Road,,
"POLYGON ((-6.2511871 53.3626682, -6.2511337 53.362787, -6.2510856 53.3627793, -6.2510585 53.3628422, -6.2511359 53.3628541, -6.2511679 53.3627797, -6.251191 53.3627833, -6.2512076 53.3627446, -6.2513186 53.3627616, -6.2512968 53.3628123, -6.2512255 53.3628013, -6.2512156 53.3628244, -6.2512582 53.3628309, -6.2512107 53.3629412, -6.2510395 53.362915, -6.2510495 53.3628917, -6.2509438 53.3628755, -6.2509964 53.362753, -6.251016 53.362756, -6.2510644 53.3626486, -6.2511871 53.3626682))",nursing_home,,,,
"POLYGON ((-6.2408012 53.3595758, -6.240786 53.3596381, -6.2406642 53.3596275, -6.2406393 53.3596251, -6.2406417 53.359562, -6.2408012 53.3595758))",pharmacy,,Annesley Place,,
"POLYGON ((-6.2234726 53.3767862, -6.2234034 53.3767678, -6.223523 53.3766072, -6.2235919 53.376626, -6.2234726 53.3767862))",clinic,The Northside Podiatry / Chiropody Clinic,Collins Avenue,,
"POLYGON ((-6.2237426 53.3768688, -6.2236509 53.3768445, -6.2236634 53.3768277, -6.2238098 53.3766313, -6.2239014 53.3766556, -6.2238201 53.3767647, -6.2237426 53.3768688))",pharmacy,Lalor's,Collins Avenue,,
"POLYGON ((-6.2388846 53.3706156, -6.2388771 53.3706332, -6.2388623 53.3706614, -6.2390141 53.3706847, -6.2390363 53.3706385, -6.2388846 53.3706156))",pharmacy,Bank's Pharmacy,Philipsburgh Avenue,,Dublin
"POLYGON ((-6.24858 53.3574764, -6.2485268 53.3575028, -6.2483787 53.3574105, -6.2483548 53.3573956, -6.2484125 53.3573656, -6.2484357 53.3573809, -6.24858 53.3574764))",post_office,Summerhill Post Office,Summerhill Parade,An Post,Dublin
"POLYGON ((-6.2279058 53.3682761, -6.2278211 53.3682726, -6.2278246 53.3682421, -6.2277528 53.3682391, -6.2277458 53.3683, -6.2276431 53.3682957, -6.2276498 53.3682382, -6.227677 53.3682393, -6.2276847 53.3681729, -6.2276372 53.3681709, -6.2276432 53.3681193, -6.2276907 53.3681212, -6.2277634 53.3681033, -6.2278 53.3681541, -6.2277645 53.3681641, -6.2277621 53.368185, -6.2278418 53.3681883, -6.2278454 53.3681575, -6.2279192 53.3681606, -6.2279058 53.3682761))",clinic,,Malahide Road,,Dublin
"POLYGON ((-6.2390885 53.3626554, -6.2391051 53.362585, -6.2391444 53.3625883, -6.2391573 53.3625334, -6.2392561 53.3625417, -6.239264 53.3625081, -6.2393251 53.3625133, -6.2393191 53.3625386, -6.2393042 53.3626018, -6.2392876 53.3626721, -6.2390885 53.3626554))",pharmacy,McCartan's Pharmacy,Fairview Strand,,
"POLYGON ((-6.2395033 53.3626185, -6.2394867 53.3626889, -6.2392876 53.3626721, -6.2393042 53.3626018, -6.2393191 53.3625386, -6.2393926 53.3625436, -6.2393774 53.3626079, -6.2394246 53.3626119, -6.2394448 53.3625262, -6.2395235 53.3625328, -6.2395158 53.3625655, -6.2395033 53.3626185))",bank,Fairview Credit Union,Fairview Strand,,
"POLYGON ((-6.226733 53.3679148, -6.2266573 53.3679627, -6.2266395 53.3679527, -6.2265041 53.3678767, -6.2264645 53.3678545, -6.2265401 53.3678065, -6.2265958 53.3678378, -6.226733 53.3679148))",pharmacy,Corrigan's Pharmacy,Malahide Road,,
"POLYGON ((-6.2265944 53.3679813, -6.2266395 53.3679527, -6.2265041 53.3678767, -6.226459 53.3679053, -6.2265051 53.3679312, -6.2265944 53.3679813))",doctors,,Malahide Road,,
"POLYGON ((-6.2262896 53.3645223, -6.2263591 53.3645232, -6.2264063 53.3643648, -6.2264838 53.3641043, -6.2257643 53.3639962, -6.225648 53.3640708, -6.2262896 53.3645223))",school,,,,
"POLYGON ((-6.1764048 53.3910252, -6.1762206 53.3910298, -6.1762191 53.3910089, -6.1756205 53.3910241, -6.1756111 53.390893, -6.1757327 53.3908899, -6.17572 53.3907126, -6.1760123 53.3907052, -6.1760249 53.3908825, -6.1763939 53.3908731, -6.1764048 53.3910252))",clinic,,,,
"POLYGON ((-6.0687594 53.387139, -6.0687809 53.3873461, -6.0688399 53.3874557, -6.0690974 53.3874093, -6.0689351 53.3870998, -6.0687594 53.387139))",police,Howth Garda Station,Saint Lawrence Road,,Howth
"POLYGON ((-6.1742757 53.3858345, -6.1742815 53.385842, -6.17408 53.3858974, -6.1740293 53.3858317, -6.1740843 53.3858166, -6.1741738 53.385792, -6.1742308 53.3857763, -6.1742757 53.3858345))",doctors,,,,
"POLYGON ((-6.2552403 53.3580318, -6.2548798 53.3576772, -6.2549908 53.357636, -6.2549357 53.3575805, -6.2550246 53.3575514, -6.2551044 53.357633, -6.2555198 53.3574826, -6.2556479 53.3576086, -6.2554418 53.3576833, -6.2555546 53.3577942, -6.2556371 53.3578753, -6.2556466 53.3578847, -6.2552403 53.3580318))",police,Fitzgibbon Street Garda Station,Fitzgibbon Street,,Dublin
"POLYGON ((-6.1842689 53.3646777, -6.1842408 53.3647194, -6.1841034 53.3646865, -6.1841315 53.3646448, -6.1842689 53.3646777))",post_office,St. Gabriel's Road Post Office,Saint Gabriels Road,An Post,Dublin
"POLYGON ((-6.2054541 53.382475, -6.2053 53.3824801, -6.205289 53.3823122, -6.2054435 53.3823064, -6.2056021 53.3823002, -6.2056099 53.3823981, -6.2056674 53.3823962, -6.2056112 53.3824585, -6.205453 53.3824638, -6.2054541 53.382475))",bank,AIB,Saint Brigid's Road,AIB,Dublin
"POLYGON ((-6.2055064 53.3818542, -6.2055125 53.3819116, -6.2054042 53.3819389, -6.2053705 53.3819402, -6.2053753 53.3819858, -6.2052546 53.3819904, -6.2052411 53.3818643, -6.2054705 53.3818556, -6.2055064 53.3818542))",pharmacy,Evelyn Bradley Pharmacy,Saint Brigid's Road,,Dublin
"POLYGON ((-6.2059804 53.3825743, -6.2058857 53.382613, -6.2057599 53.3825036, -6.2058546 53.3824649, -6.2059804 53.3825743))",veterinary,Amy Lara Clinic,Malahide Road,,
"POLYGON ((-6.1974907 53.3821653, -6.1971447 53.3821573, -6.1971527 53.3820343, -6.1972466 53.3820364, -6.1972474 53.382023, -6.1974552 53.3820278, -6.1974543 53.3820412, -6.1975506 53.3820435, -6.1975478 53.3820865, -6.1976658 53.3820892, -6.1976622 53.3821444, -6.1974923 53.3821404, -6.1974907 53.3821653))",social_facility,,,,
"POLYGON ((-6.15417 53.3852652, -6.1540905 53.3852271, -6.1539418 53.3853426, -6.1540222 53.3853804, -6.15417 53.3852652))",pharmacy,Adrian Dunne,Greendale Road,,Dublin
"POLYGON ((-6.1707206 53.3998789, -6.1708856 53.3998914, -6.1708602 53.4000111, -6.1706951 53.3999986, -6.1707206 53.3998789))",pharmacy,Corr's,Elmfield Rise,,
"POLYGON ((-6.1608229 53.3881313, -6.160899 53.3880758, -6.1610648 53.3881568, -6.1609889 53.3882122, -6.1608229 53.3881313))",kindergarten,,Swans Nest Avenue,,
"POLYGON ((-6.20485 53.3786203, -6.2054931 53.3782894, -6.2058887 53.3778734, -6.205917 53.3778367, -6.2059683 53.3778392, -6.2063487 53.377955, -6.2066746 53.3780814, -6.2067175 53.3781102, -6.2062696 53.3784762, -6.2058327 53.3788169, -6.2051752 53.3793296, -6.2050207 53.3793187, -6.2049979 53.3791588, -6.2049644 53.3789235, -6.20485 53.3786203))",school,Saint Brigid's Girls National School,Saint Brigid's Road,,Dublin
"POLYGON ((-6.1273376 53.397295, -6.1272047 53.3970245, -6.1267287 53.3970907, -6.1265975 53.3967477, -6.1265962 53.3967119, -6.1266269 53.3966769, -6.1266983 53.3966488, -6.127973 53.3965044, -6.1280155 53.3965126, -6.1280398 53.3965352, -6.1283281 53.3970952, -6.1273376 53.397295))",school,St Mary's Secondary School,,,
"POLYGON ((-6.2276623 53.3910494, -6.2261194 53.3910658, -6.2262245 53.3917422, -6.226263 53.391767, -6.2277616 53.3918081, -6.2277418 53.3911505, -6.2277337 53.3910853, -6.2276623 53.3910494))",social_facility,Catherine McAuley House,Beaumont Woods,,Dublin
"POLYGON ((-6.2278136 53.3909419, -6.2278169 53.3908748, -6.2278176 53.3907833, -6.2278205 53.3907219, -6.2277874 53.3907213, -6.2277755 53.3907081, -6.227742 53.3906921, -6.2277118 53.3906937, -6.2276917 53.3907073, -6.227677 53.3907194, -6.2276537 53.390719, -6.2276431 53.390939, -6.2278136 53.3909419))",place_of_worship,,,,
"POLYGON ((-6.2364201 53.3753299, -6.2368017 53.3745268, -6.2358991 53.3743592, -6.2353456 53.3750748, -6.2352774 53.3751059, -6.2345955 53.3749838, -6.2343307 53.3756228, -6.2338213 53.3768288, -6.2355822 53.3772165, -6.236192 53.3772596, -6.2368111 53.3759424, -6.2372718 53.376016, -6.2374762 53.3755542, -6.2375769 53.3755666, -6.237805 53.3751712, -6.2377409 53.3751596, -6.2376458 53.3751424, -6.2376774 53.375227, -6.2375716 53.3754569, -6.2375037 53.3754912, -6.2364201 53.3753299))",school,Maryfield College,Glandore Road,,Dublin
"POLYGON ((-6.2282566 53.354334, -6.2287505 53.3546204, -6.2290819 53.3543871, -6.2291707 53.3544321, -6.2292492 53.3543767, -6.2291403 53.3543268, -6.2292488 53.3542469, -6.2289279 53.3540555, -6.2288094 53.3539918, -6.2282566 53.354334))",school,,,,
"POLYGON ((-6.2548442 53.3538146, -6.2552228 53.3537332, -6.2553664 53.3537028, -6.2552061 53.3534367, -6.2552626 53.3534246, -6.2551803 53.3532873, -6.2547449 53.3533803, -6.2547064 53.3534515, -6.2546679 53.3535226, -6.2548442 53.3538146))",school,Lourdes Parish Schools,Sean Mac Dermott Street Lower,,Dublin
"POLYGON ((-6.1290138 53.5531625, -6.1289189 53.5531671, -6.12892 53.5531755, -6.1285373 53.5531928, -6.128528 53.5531201, -6.1289107 53.5531028, -6.1289115 53.5531095, -6.129006 53.553105, -6.1290138 53.5531625))",place_of_worship,Baldongan Church,,,Baldongan
"POLYGON ((-6.1593242 53.5239037, -6.158866 53.5238014, -6.158674 53.5237586, -6.1580528 53.5236199, -6.1579746 53.5235209, -6.1579576 53.5234484, -6.1579616 53.5233839, -6.1579804 53.5233337, -6.158026 53.5232691, -6.1582406 53.5230666, -6.1584554 53.5228665, -6.1589516 53.522492, -6.159575 53.5220832, -6.1597621 53.5223191, -6.1598319 53.5224121, -6.1598985 53.5225887, -6.1597131 53.5229071, -6.1595254 53.5234253, -6.1593242 53.5239037))",social_facility,Lusk Community Unit,Station Road,,Lusk
"POLYGON ((-6.1737745 53.5244153, -6.1739573 53.5245705, -6.174018 53.524622, -6.174069 53.5246044, -6.1740889 53.5246269, -6.1741982 53.5246022, -6.1741952 53.5243827, -6.1737745 53.5244153))",kindergarten,Learn 2 Grow,Dun Emer Avenue,,Lusk
"POLYGON ((-6.1658544 53.5254755, -6.1655949 53.5254146, -6.1655573 53.5254713, -6.1658168 53.5255322, -6.1658544 53.5254755))",doctors,,Main Street,,Lusk
"POLYGON ((-6.1664695 53.5229097, -6.1669408 53.5230986, -6.1672086 53.5232059, -6.1675868 53.5232888, -6.1675412 53.5235184, -6.1674983 53.5236125, -6.1674097 53.5237098, -6.167289 53.5237767, -6.1672026 53.5237916, -6.1671677 53.5235811, -6.1661967 53.5231649, -6.1662906 53.5230932, -6.1662128 53.5230438, -6.1664695 53.5229097))",police,Lusk Garda Station,Dublin Road,,Lusk
"POLYGON ((-6.1659686 53.5255023, -6.1660459 53.5254371, -6.1660987 53.5253939, -6.1661448 53.5254158, -6.1659835 53.5255531, -6.1659451 53.5255623, -6.1658168 53.5255322, -6.1658544 53.5254755, -6.1659686 53.5255023))",kindergarten,Tower View Montessori,Main Street,,Lusk
"POLYGON ((-6.1538246 53.5220982, -6.1537433 53.5220989, -6.1537399 53.5219586, -6.1538211 53.5219579, -6.1538246 53.5220982))",kindergarten,Butterflies Crèche & Montessori,Station Road,,Lusk
"POLYGON ((-6.1815958 53.5266859, -6.1816133 53.5267014, -6.1816495 53.5266806, -6.1816723 53.5266511, -6.1816709 53.5266368, -6.1815489 53.5265204, -6.1815301 53.52651, -6.1814818 53.5265164, -6.1814322 53.5265339, -6.1814426 53.5265437, -6.1815958 53.5266859))",kindergarten,Woodland Creche & Montessori,Dun Emer Rise,,Lusk
"POLYGON ((-6.172076 53.5304485, -6.1723546 53.5304603, -6.1724469 53.5304644, -6.1724699 53.5302679, -6.1723669 53.5302245, -6.1722897 53.5303308, -6.1721028 53.5303114, -6.172076 53.5304485))",kindergarten,Ivy House Montessori,Quickpenny Road,,Lusk
"POLYGON ((-6.2418062 53.4286237, -6.2418067 53.4286983, -6.2415206 53.4286973, -6.2415211 53.4286486, -6.2414727 53.4286484, -6.2414723 53.428696, -6.2411331 53.4286948, -6.2411335 53.4286577, -6.2411077 53.4286576, -6.2411086 53.4285708, -6.2411343 53.4285709, -6.241135 53.4284981, -6.241064 53.4284978, -6.2410656 53.4283425, -6.2412236 53.428343, -6.2412222 53.4284803, -6.2412015 53.4284802, -6.241201 53.4285315, -6.2414723 53.4285325, -6.2414718 53.4285806, -6.2415221 53.4285808, -6.2415225 53.4285351, -6.2418083 53.4285361, -6.2418062 53.4286237), (-6.2417573 53.4285675, -6.2415742 53.4285659, -6.2415717 53.4286688, -6.2417549 53.4286703, -6.2417573 53.4285675))",place_of_worship,Church of Our Lady Queen of Heaven,,,
"POLYGON ((-6.2542905 53.4043976, -6.2544516 53.4044974, -6.2539844 53.4047655, -6.2539191 53.4048029, -6.2539422 53.4048172, -6.2538025 53.4048974, -6.2537843 53.4048861, -6.2536255 53.4049772, -6.2532382 53.4047372, -6.2536588 53.404447, -6.2535919 53.4044171, -6.2537884 53.4042851, -6.2539096 53.4042116, -6.2540475 53.4041468, -6.2541688 53.4041007, -6.2542398 53.4042165, -6.2541667 53.4042377, -6.2540914 53.4042726, -6.2540057 53.4043125, -6.2539054 53.404371, -6.253826 53.4044346, -6.2540989 53.4045075, -6.2542905 53.4043976), (-6.2537299 53.4045168, -6.2536139 53.4046458, -6.2537311 53.4047185, -6.2539258 53.4046068, -6.2537299 53.4045168))",clinic,Sports Surgery Clinic,Northwood Avenue,,
"POLYGON ((-6.2179387 53.3739624, -6.2175232 53.3745087, -6.2173264 53.3747675, -6.2172497 53.3747858, -6.2167065 53.3746645, -6.2157135 53.3744543, -6.2160032 53.3739193, -6.216032 53.3738697, -6.216107 53.3737404, -6.2161895 53.3735981, -6.2170362 53.3737751, -6.2170558 53.3737444, -6.2179672 53.3739251, -6.2179387 53.3739624))",school,Our Lady of Consolation National School,Collins Avenue East,,
"POLYGON ((-6.1034826 53.3874033, -6.1034625 53.3874021, -6.1034625 53.3873574, -6.1034749 53.3873188, -6.1034222 53.3873113, -6.1034594 53.3872184, -6.1035353 53.3872292, -6.1035484 53.387217, -6.1035413 53.3872012, -6.1035446 53.3871851, -6.103611 53.3871811, -6.1035983 53.3871694, -6.1036701 53.3871156, -6.1037756 53.3871571, -6.1038073 53.3871399, -6.1038495 53.3871675, -6.1038179 53.3871847, -6.1038416 53.3872308, -6.1038657 53.3872265, -6.1038851 53.3872652, -6.1039586 53.3872791, -6.1040157 53.3872681, -6.1040809 53.3872716, -6.1041684 53.3872663, -6.1041985 53.3873527, -6.1042023 53.3873798, -6.104206 53.3874135, -6.1042004 53.3874375, -6.1041872 53.3874581, -6.1041694 53.3874747, -6.1041515 53.3874863, -6.1041232 53.3874991, -6.104086 53.3875092, -6.1040553 53.3875132, -6.1040252 53.3875108, -6.104017 53.3875492, -6.1040073 53.3875949, -6.1039241 53.3875886, -6.1039341 53.3875416, -6.1039421 53.3875042, -6.1038956 53.3874625, -6.1038851 53.387445, -6.1038864 53.3874325, -6.1038974 53.3874218, -6.1038737 53.3874131, -6.1038627 53.3874237, -6.103813 53.3874032, -6.1037493 53.3874436, -6.1037327 53.3874306, -6.1036819 53.3874479, -6.1036865 53.3874566, -6.1036683 53.38746, -6.1036812 53.3874844, -6.1036245 53.387495, -6.1036115 53.3874703, -6.1035968 53.3874731, -6.1035924 53.3874647, -6.1035368 53.3874653, -6.1035358 53.387474, -6.1035176 53.3874733, -6.1035186 53.3874646, -6.1034814 53.3874615, -6.1034826 53.3874033), (-6.1041619 53.3873873, -6.1041545 53.3873505, -6.1041447 53.3873397, -6.1041327 53.3873311, -6.1041176 53.3873238, -6.1040987 53.3873181, -6.1040795 53.387315, -6.1040593 53.3873142, -6.1040399 53.3873159, -6.1040222 53.3873196, -6.1040062 53.3873252, -6.1039918 53.3873327, -6.1039796 53.3873423, -6.1039594 53.3874047, -6.1039543 53.3874164, -6.1039533 53.387429, -6.1039645 53.3874534, -6.1039755 53.3874634, -6.1039891 53.3874718, -6.1040049 53.3874783, -6.1040231 53.3874831, -6.1040645 53.3874825, -6.1040843 53.387479, -6.1041023 53.3874737, -6.1041187 53.3874666, -6.1041332 53.3874576, -6.1041445 53.3874476, -6.1041544 53.3874339, -6.1041584 53.3874233, -6.1041596 53.3874118, -6.1041619 53.3873873))",place_of_worship,St Fintan's,Church Road,,
"POLYGON ((-6.2000578 53.3818727, -6.2000498 53.3820229, -6.2000931 53.3820237, -6.2000841 53.3821943, -6.1997734 53.3821885, -6.1997195 53.3821875, -6.1997213 53.3821548, -6.1997267 53.3820519, -6.1992147 53.3820423, -6.1992168 53.3820026, -6.1991872 53.3820021, -6.1991955 53.3818462, -6.1992278 53.3818469, -6.1992299 53.3818067, -6.1997378 53.3818163, -6.1997403 53.3817687, -6.1997874 53.3817696, -6.1997848 53.381818, -6.2000024 53.381822, -6.1999998 53.3818716, -6.2000578 53.3818727), (-6.199974 53.3820575, -6.1997779 53.3820539, -6.1997733 53.3821425, -6.1999695 53.3821461, -6.199974 53.3820575))",place_of_worship,Our Lady of Mercy Church,Gracefield Road,,
POINT (-6.2537633 53.2748772),post_office,Ballinteer Post Office,Ballinteer Avenue,An Post,Dublin
POINT (-6.2001326 53.2897829),post_office,Stillorgan Post Office,Stillorgan Village Shopping Centre,An Post,Stillorgan
POINT (-6.1094928 53.2042172),bank,AIB,Main Street,AIB,
POINT (-6.2402933 53.2803372),place_of_worship,Gort Muire,,,
POINT (-6.124104 53.2314259),bank,Core Credit Union Shankill,Main Street,,
POINT (-6.124186 53.231052),pharmacy,Shankill Pharmacy,Dublin Road,,
POINT (-6.1225875 53.2336921),pharmacy,McCaetan's Pharmacy,,,
POINT (-6.2358948 53.3401223),post_office,Ringsend Post Office,Barrow Street,An Post,Dublin
POINT (-6.2239447 53.339949),pharmacy,Shelbourne Pharmacy,Irishtown Road,,Dublin
POINT (-6.2152035 53.332312),pharmacy,Sandymount Pharmacy,Sandymount Green,,Dublin
POINT (-6.2159963 53.3309798),veterinary,Sandymount Pet Hospital,Gilford Road,,
POINT (-6.230825 53.3292058),pharmacy,Life Pharmacy,Merrion Road,Life Pharmacy,Dublin
POINT (-6.2317121 53.330276),post_office,Ballsbridge Post Office,Shelbourne Road,An Post,Dublin
POINT (-6.2633032 53.2031803),place_of_worship,Mass Rock,,,
POINT (-6.2207255 53.305236),post_office,Belfield Post Office,Stillorgan Road,An Post,Dublin
POINT (-6.2151074 53.3087489),bank,Bank of Ireland,Stillorgan Road,Bank of Ireland,
POINT (-6.2448176 53.3430114),post_office,Erne Street Upper Post Office,Erne Street Upper,An Post,Dublin
POINT (-6.1874526 53.2801868),nursing_home,Belmont House Nursing Home,Belmont House,,
POINT (-6.079698 53.149455),pharmacy,Roche's Pharmacy,,,
POINT (-6.2367251 53.2983998),pharmacy,Finnegan's Pharmacy,Farmhill Road,,
POINT (-6.2396012 53.3236111),social_facility,Morehampton Lodge,Morehampton Road,,
POINT (-6.1037069 53.2771471),pharmacy,Kerin's Allcare,Castle Street,,Dalkey
POINT (-6.1620243 53.2624876),pharmacy,Park CarePlus Pharmacy,,,
POINT (-6.2376666 53.3222739),pharmacy,Lloyds Pharmacy,Main Street,Lloyds Pharmacy,Donnybrook
POINT (-6.2407031 53.3246025),pharmacy,Boots,Morehampton Road,Boots,Dublin
POINT (-6.2242903 53.2765324),pharmacy,Balally Pharmacy,Cedar Road,,
POINT (-6.2493456 53.3443586),pharmacy,Lombard Pharmacy,Lombard Street East,,
POINT (-6.2555244 53.3251999),bank,Ranelagh & District Credit Union Limited,Fields Terrace,,Dublin
POINT (-6.255396 53.3255257),pharmacy,Burke's Pharmacy,Ranelagh,,
POINT (-6.2567079 53.3211967),pharmacy,Dunville Pharmacy,Dunville Avenue,,Dublin
POINT (-6.2572538 53.3270577),doctors,Archview Physiotherapy,Ranelagh Road,,Dublin
POINT (-6.2528635 53.3242897),pharmacy,Meagher's Pharmacy,Ranelagh,,Dublin
POINT (-6.2065725 53.27737),bank,AIB,,AIB,
POINT (-6.1091603 53.2043641),pharmacy,Hilton's Pharmacy,Main Street,,Bray
POINT (-6.1078558 53.2046314),pharmacy,McCabes Pharmacy,,,
POINT (-6.1098215 53.2031426),pharmacy,Vance & Wilson,,,
POINT (-6.2276621 53.3081686),pharmacy,UCD Pharmacy,,,
POINT (-6.2364637 53.3392271),pharmacy,Meaghers Pharmacy,Barrow Street,,Dublin
POINT (-6.1394713 53.2930347),pharmacy,Boots,Convent Lane,Boots,Dún Laoghaire
POINT (-6.2534074 53.3472996),bank,,,,Dublin
POINT (-6.2562981 53.3369107),school,Loreto College Junior School,St. Stephen's Green,,
POINT (-6.2403407 53.3352111),school,St Mary's Secondary School,,,
POINT (-6.20594 53.2825656),place_of_worship,,,,
POINT (-6.2517056 53.3241611),bank,Bank of Ireland,Ranelagh,Bank of Ireland,Dublin
POINT (-6.1219131 53.286703),post_office,Glasthule Post Office,Glasthule Road,An Post,
POINT (-6.2532462 53.3450174),place_of_worship,Grace,Pearse Street,,Dublin
POINT (-6.130468 53.2897774),pharmacy,Dun Laoghaire Pharmacy,Georges Street Upper,,Dún Laoghaire
POINT (-6.1778682 53.3018006),bank,EBS,Main Street,EBS,
POINT (-6.1769863 53.301256),bank,Bank of Ireland,Main Street,Bank of Ireland,
POINT (-6.1773626 53.3011877),bank,Permanent TSB,Main Street,Permanent TSB,Blackrock
POINT (-6.1754274 53.3007756),library,Blackrock Library,Main Street,,Blackrock
POINT (-6.24135 53.3249972),bank,South Dublin Credit Union,Morehampton Road,,Dublin
POINT (-6.2439215 53.3490725),bank,AIB,Mayor Street Lower,AIB,Dublin
POINT (-6.2369626 53.3051568),pharmacy,Lloyds Pharmacy,Gledswood Drive,Lloyds Pharmacy,
POINT (-6.2427089 53.3493002),pharmacy,Remedi,Mayor Street Lower,,Dublin
POINT (-6.2368977 53.2984544),post_office,Roebuck Post Office,Farmhill Road,An Post,Goatstown
POINT (-6.0632944 53.1447779),pharmacy,McCauley Health & Beauty Pharmacy,Church Road,,Greystones
POINT (-6.2427347 53.268606),pharmacy,Blackglen Pharmacy,Blackglen Village Centre,,
POINT (-6.2566652 53.2881397),pharmacy,Gormley Pharmacy,,,
POINT (-6.1218469 53.1960275),pharmacy,Cunninghams Pharmacy,Killarney Park,,
POINT (-6.205273 53.2886397),pharmacy,Allcare Pharmacy,Kilmacud Road Lower,,
POINT (-6.2582056 53.3407218),library,Royal Irish Academy,Dawson Street,,
POINT (-6.2448071 53.3430945),pharmacy,Conefrey's Pharmacy Limited,Pearse Street,CarePlus,Dublin
POINT (-6.2084978 53.3106202),pharmacy,Woodbine Pharmacy,Woodbine Park,,
POINT (-6.2495459 53.3449373),clinic,HSE Primary Care Centre,,,
POINT (-6.2141217 53.2526755),post_office,Stepaside Post Office,Enniskerry Road,An Post,
POINT (-6.251677 53.338612),doctors,Fitzwilliam Medical Centre,Fitzwilliam Lane,,Dublin
POINT (-6.2433631 53.3404978),pharmacy,,Hogan Place,,
POINT (-6.1976652 53.2594835),pharmacy,Lloyds Pharmacy,Ballyogan Avenue,Lloyds Pharmacy,
POINT (-6.2449119 53.3335587),post_office,Baggot Street Upper Post Office,Baggot Street Upper,An Post,Dublin
POINT (-6.1973878 53.2694794),kindergarten,Giraffe Childcare,,,
POINT (-6.2009454 53.2894846),pharmacy,Haven Pharmacy,Stillorgan Village Shopping Centre,,
POINT (-6.2000821 53.2898003),pharmacy,Lloyds Pharmacy,Stillorgan Village Shopping Centre,Lloyds Pharmacy,
POINT (-6.2361601 53.3389619),doctors,Barrow Medical,Barrow Street,,Dublin
POINT (-6.1618272 53.2620156),doctors,Park Clinic,,,
POINT (-6.1674525 53.2700449),childcare,Lilliput Childcare,,,
POINT (-6.1854777 53.2524934),pharmacy,Boots,The Park,Boots,
POINT (-6.0622765 53.1443283),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.2448926 53.3020719),pharmacy,Medipharm,,,
POINT (-6.2453144 53.2793904),pharmacy,Bhagwan's Pharmacy,,,
POINT (-6.1070767 53.2047248),post_office,Quinnsborough Road Post Office,Quinnsborough Road,An Post,Bray
POINT (-6.1223918 53.1892284),pharmacy,Boghall Pharmacy,Boghall Road,,Bray
POINT (-6.1985907 53.304328),pharmacy,Booterstown Pharmacy,Booterstown Avenue,,
POINT (-6.2379144 53.3265081),place_of_worship,"First Church of Christ, Scientist",Herbert Park,,
POINT (-6.2155081 53.3326225),bank,AIB,Sandymount Road,AIB,Dublin
POINT (-6.2416408 53.3492335),post_office,BizPOST etc.,Mayor Street Lower,,Dublin
POINT (-6.2174892 53.2777774),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.2162616 53.2762242),kindergarten,Park Academy Childcare,,,
POINT (-6.2161339 53.2775993),bank,Ulster Bank,,Ulster Bank,
POINT (-6.2162978 53.2777975),pharmacy,Your Local Pharmacy,,,
POINT (-6.2209501 53.2609245),doctors,Belarmine Medical Centre,Belarmine Plaza,,
POINT (-6.122916 53.25253),post_office,Ballybrack Post Office,Military Road,An Post,
POINT (-6.1241888 53.2311564),post_office,Shankill Post Office,Main Street,An Post,Shankill
POINT (-6.2484571 53.3376029),clinic,Albany Clinic,Fitzwilliam Street Lower,,Dublin
