rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.2655211 53.3401873),restaurant,Bow Lane,Aungier Street,
POINT (-6.2933369 53.3481917),cafe,Provender & Family,,
POINT (-6.2803162 53.3458968),cafe,Oh Rourkes!,,
POINT (-6.2792108 53.3429336),pub,The Clock,Thomas Street,Dublin
POINT (-6.6218632 53.2373245),restaurant,Johnstown Inn,,Johnstown
POINT (-6.3131127 53.3195923),pub,Frehill's Tavern,Saint Agnes' Park,
POINT (-6.2931993 53.3374079),cafe,Cafe Togo,,
POINT (-6.2742144 53.311879),restaurant,Bijou Rathgar,Highfield Road,Dublin
POINT (-6.2656355 53.3218191),pub,Kodiak,Rathmines Road Lower,Dublin
POINT (-6.2649227 53.3456425),restaurant,The Italian Corner,Wellington Quay,
POINT (-6.2853005 53.3485147),cafe,Brambles Café,,
POINT (-6.3005633 53.3432443),cafe,IMMA cafe,,
POINT (-6.310076 53.3423721),cafe,Limetree Café,,
POINT (-6.2653194 53.3412997),bar,The Capitol Lounge,Aungier Street,Dublin
POINT (-6.2655755 53.3402594),bar,Bow Lane,Aungier Street,Dublin
POINT (-6.2653723 53.3411628),restaurant,Govindas,Aungier Street,Dublin
POINT (-6.2668467 53.3216762),restaurant,Little Ass Burrito bar,Rathgar Road,Dublin
POINT (-6.2656024 53.3463464),cafe,Mochaland Coffee,Ormond Quay Lower,Dublin
POINT (-6.274404 53.3114086),restaurant,Kanum,Orwell Road,Dublin
POINT (-6.2745676 53.3116413),cafe,Howards Way,Orwell Road,Dublin
POINT (-6.2748509 53.3119955),restaurant,Il Divo,Terenure Road East,Dublin
POINT (-6.2721486 53.3407216),cafe,Bite of Life,Patrick Street,Dublin
POINT (-6.2688011 53.3487762),restaurant,Hilan,Capel Street,Dublin
POINT (-6.2674801 53.3442569),restaurant,Cafe Topolis,Parliament Street,Dublin
POINT (-6.2699038 53.3451861),cafe,Abreu's Cafe,,
POINT (-6.291006 53.3429392),pub,The Malt,James Street,Dublin
POINT (-6.5288757 53.3316434),pub,Celbridge GAA Clubhouse Bar,Hazelhatch Road,Celbridge
POINT (-6.5927493 53.2476554),pub,The Dew Drop Inn,Main Street,Kill
POINT (-6.2655027 53.3490726),cafe,Anne's Bakery,Mary Street,Dublin
POINT (-6.2646929 53.3311897),cafe,Wall & Keogh,Richmond Street South,
POINT (-6.2639138 53.343795),pub,Dame Tavern,Dame Court,Dublin
POINT (-6.265015 53.3339782),restaurant,Pickle,Camden Street Lower,Dublin
POINT (-6.2653294 53.3335796),cafe,World Gate Cafe,,
POINT (-6.2882697 53.2781494),pub,Furry Bog,,
POINT (-6.3792415 53.3235135),pub,Boomers,,
POINT (-6.2787355 53.3182336),restaurant,Becket & Bull,Rathgar Avenue,Dublin
POINT (-6.2836885 53.3470952),pub,The Mission,Ellis Street,Dublin
POINT (-6.2843718 53.3464035),pub,Noel Leonards (Closed),,
POINT (-6.2634682 53.3374044),bar,Magic Glasses,,
POINT (-6.2681589 53.3408345),bar,The Dyflin Bar,Golden Lane,Dublin
POINT (-6.2900462 53.3480466),pub,The Millenium,,Dublin
POINT (-6.279037 53.3486857),cafe,Bel Cibo,,
POINT (-6.2587894 53.3465755),bar,Pillar Bar,Westmoreland Street,Dublin
POINT (-6.2634505 53.3450322),restaurant,Luigi Malones,,
POINT (-6.2649771 53.3351651),cafe,Del Fino,Camden Street Lower,
POINT (-6.2649423 53.3355573),cafe,Caffè Nero,Camden Street Lower,
POINT (-6.2649966 53.335377),restaurant,Neon,Camden Street Lower,
POINT (-6.264995 53.3352108),restaurant,Hang Dai,Camden Street Lower,Dublin
POINT (-6.2810822 53.3433017),pub,The Magnet,Thomas Street,Dublin
POINT (-6.27815 53.3406636),bar,All My Friends,Meath Street,Dublin
POINT (-6.2780884 53.3397428),pub,The Lamplighter,The Coombe,Dublin
POINT (-6.2652915 53.3466089),restaurant,Enoteca delle Langhe,Millennium Walkway,Dublin
POINT (-6.2772127 53.3427402),pub,Tom Kennedy’s,Thomas Street,Dublin
POINT (-6.2626471 53.3418781),restaurant,Mercado,William Street South,Dublin
POINT (-6.2730569 53.3389392),cafe,Cathedral Cafe,Dean Street,Dublin
POINT (-6.2750427 53.3308134),restaurant,Konkan,Clanbrassil Street Upper,Dublin
POINT (-6.278673 53.341684),pub,The Lark Inn,Meath Street,Dublin
POINT (-6.2807211 53.3400639),pub,The Pimlico Tavern,Pimlico,
POINT (-6.2865058 53.3406666),cafe,Cooper's Cafe,,
POINT (-6.280169 53.339224),restaurant,The Electric Vegan,Ardee Street,Dublin
POINT (-6.269337 53.344588),cafe,UBode,,
POINT (-6.3168219 53.3402486),pub,McDowell’s,Emmet Road,Dublin
POINT (-6.262863 53.343091),restaurant,Boulevard Cafe,Exchequer Street,
POINT (-6.2699958 53.3437264),restaurant,Copper Alley Bistro,Lord Edward Street,Dublin
POINT (-6.2654697 53.3407408),cafe,Wolf & Spoon,Aungier Street,Dublin
POINT (-6.2629298 53.3453217),restaurant,Bad Ass Cafe,Crown Alley,Dublin
POINT (-6.2637006 53.3443224),pub,Trinity Bar & Venue,Dame Street,Dublin
POINT (-6.2611931 53.3445009),cafe,Starbucks,College Green,Dublin
POINT (-6.2659898 53.3450328),pub,Bad Bob’s,Essex Street East,Dublin
POINT (-6.4209074 53.2907507),cafe,Bridge Street Cafe,,
POINT (-6.3715716 53.2717195),pub,Kiltipper Pub,Marlfield Mall,
POINT (-6.305349 53.3091194),pub,The Two Sisters,,
POINT (-6.2641273 53.3303503),pub,The Portobello Bar,Richmond Street South,Dublin
POINT (-6.2652219 53.347023),restaurant,Cactus Jacks,,Dublin
POINT (-6.2654609 53.3470921),cafe,Lemon Jelly,,Dublin
POINT (-6.2876954 53.3368452),pub,Morrissey's,,
POINT (-6.2801673 53.3459874),pub,Pifko Bar,Usher's Quay,
POINT (-6.2797369 53.3466317),cafe,Voodoo,Arran Quay,Dublin
POINT (-6.4960708 53.2961605),cafe,Cafe OLE,,
POINT (-6.2651253 53.3454637),bar,Fitzsimon’s,Wellington Quay,Dublin
POINT (-6.3073765 53.3417454),restaurant,La Dolce Vita,South Circular Road,
POINT (-6.2689996 53.3443162),cafe,Queen of Tarts,Cow's Lane,Dublin
POINT (-6.2636149 53.3449672),cafe,Cappuccino Bar,Cecilia Street,
POINT (-6.3650119 53.2897005),bar,The Shack,Old Blessington Road,Tallaght
POINT (-6.278453 53.341256),cafe,Dave's Cafe Grill & Deli,Meath Street,
POINT (-6.2664774 53.3453862),pub,The Workman's Club,Wellington Quay,Dublin
POINT (-6.2635503 53.3328318),cafe,Baxter & Greene,Harcourt Road,Dublin
POINT (-6.2833015 53.3111738),restaurant,Brambles,Terenure Road North,Dublin
POINT (-6.316768 53.3160602),cafe,Café de Provence,,
POINT (-6.3173081 53.3159336),pub,Rory O'Connor's,,
POINT (-6.3173858 53.3161733),pub,The Submarine,,
POINT (-6.2692841 53.3433598),restaurant,Bottega Toffoli,Castle Street,
POINT (-6.2868779 53.3404859),pub,Brewery Bar,,
POINT (-6.2728363 53.3363545),pub,Kavanagh’s,New Street South,Dublin
POINT (-6.2648794 53.3412721),restaurant,Nan,Stephen Street Lower,Dublin
POINT (-6.2790263 53.3488264),cinema,Light House Cinema,Smithfield,Dublin
POINT (-6.2800896 53.3233599),pub,McGowan's of Harold's Cross,Harold's Cross Road,Dublin
POINT (-6.3422578 53.3483357),restaurant,James Joyce Bistro,,
POINT (-6.4445633 53.2805016),pub,Jacobs,,
POINT (-6.272524 53.3336118),cafe,Doll's & Bibi's,,
POINT (-6.2923626 53.3466141),cafe,Off Beat Donut Co,,
POINT (-6.4560889 53.2843254),cafe,The Egg Cafe,"N7 Naas Road, Rathcoole",
POINT (-6.2841318 53.2980625),cafe,Tea Room,Rathfarnham Road,
POINT (-6.2627983 53.3416149),cafe,Clement & Pekoe,William Street South,Dublin
POINT (-6.3933861 53.3213469),pub,The Black Lion,Orchard Road,Clondalkin
POINT (-6.3929596 53.3209592),pub,The Laurels,Main Street,Clondalkin
POINT (-6.3932185 53.3211955),pub,The Purty Central,Main Street,Clondalkin
POINT (-6.3941733 53.3207853),pub,The Steering Wheel,,
POINT (-6.2607214 53.345781),restaurant,Hard Rock Cafe,Fleet Street,Dublin
POINT (-6.2606935 53.3456932),cafe,Ruby Duck,Fleet Street,
POINT (-6.2642249 53.3428318),restaurant,Good World Restaurant,South Great George's Street,Dublin
POINT (-6.2747565 53.2809793),cafe,HX46 Rathfarnham,Grange Road,
POINT (-6.5158974 53.3308103),restaurant,Pitch and Putt,Loughlinstown Road,Celbridge
POINT (-6.2783842 53.3426854),cafe,Cafe Fifty Three,Thomas Street,
POINT (-6.3594453 53.3111987),restaurant,,,
POINT (-6.3598369 53.3122691),cafe,Josh's Place,Ballymount Retail Centre,
POINT (-6.2674266 53.3422878),restaurant,Silk Road Cafe,Dublin Castle,Dublin
POINT (-6.3499819 53.2949629),cafe,Spartakey,,
POINT (-6.2824553 53.3474932),restaurant,Wuff,Benburb Street,Dublin
POINT (-6.2802479 53.3392996),restaurant,East,,
POINT (-6.3323303 53.3174091),pub,The Kestrel House,,
POINT (-6.328425 53.3238179),pub,The Halfway House,,
POINT (-6.3120274 53.3358378),pub,Marble Arch,Davitt Road,
POINT (-6.3162604 53.3206892),pub,The Hub (The Shaw Arms),Saint Agnes Road,Dublin
POINT (-6.272153 53.3458283),restaurant,The Legal Eagle,Chancery Place,Dublin
POINT (-6.2639536 53.3418336),restaurant,Fade Street Social,Fade Street,Dublin
POINT (-6.2921726 53.3206435),pub,The Stone Boat,Sundrive Road,
POINT (-6.2964378 53.3141966),pub,KCR House,Kimmage Road Lower,Dublin
POINT (-6.3060022 53.3273937),pub,The Old County,Old County Road,
POINT (-6.2673259 53.3487766),restaurant,Nando's,Mary Street,Dublin
POINT (-6.2787436 53.3477867),cafe,Third Space,,
POINT (-6.2663779 53.3454052),pub,Bison Bar,Wellington Quay,Dublin
POINT (-6.4660302 53.2818989),pub,Muldowney’s,Main Street,Rathcoole
POINT (-6.2639185 53.3445295),restaurant,FX Buckley Crow Street,Crow Street,Dublin
POINT (-6.3205406 53.25469),cafe,Country Store Cafe,,
POINT (-6.2639367 53.3442968),restaurant,Bóbó's,Dame Street,
POINT (-6.2615021 53.3444406),cafe,Costa,College Green,Dublin
POINT (-6.2626275 53.3459765),restaurant,Eatokyo,Wellington Quay,Dublin
POINT (-6.5307988 53.3487161),restaurant,Courtyard Café,,Celbridge
POINT (-6.2653328 53.3369851),restaurant,Las Tapas de Lola,Wexford Street,
POINT (-6.3761476 53.2861671),restaurant,The Blazin' Grill - Steakhouse & Seafood Restaurant,Cookstown Way,
POINT (-6.2652842 53.3256064),restaurant,Camile,Rathmines Road Lower,
POINT (-6.265302 53.325536),restaurant,Hey Donna,Rathmines Road Lower,
POINT (-6.2699696 53.3439563),pub,Darkey Kelly’s,Fishamble Street,Dublin
POINT (-6.2785235 53.348862),bar,Oscars,Smithfield Market,Dublin
POINT (-6.2623232 53.3329221),cafe,Starbucks,Harcourt Street,Dublin
POINT (-6.269695 53.34359),cafe,Peacock Green & Co.,Lord Edward Street,Dublin
POINT (-6.2690269 53.3437082),restaurant,Agave,,
POINT (-6.265415 53.3442729),pub,Peadar Kearney’s,Dame Street,Dublin
POINT (-6.2642116 53.3442911),restaurant,Bunsen,Dame Street,
POINT (-6.26051 53.345832),pub,Busker’s Bar,Fleet Street,Dublin
POINT (-6.2620515 53.3457161),bar,,Temple Bar,Dublin
POINT (-6.2622517 53.345689),restaurant,Elephant & Castle,Temple Bar,Dublin
POINT (-6.266568 53.3451369),restaurant,Cleaver East,,
POINT (-6.2697995 53.3459537),cafe,Country Cafe,Ormond Quay Upper,Dublin
POINT (-6.268896 53.34604),cafe,Boteco Brazil,Ormond Quay Upper,
POINT (-6.2891721 53.3346796),cafe,Coffee Doc,,
POINT (-6.2695556 53.3380596),cafe,Little Cafe,Kevin Street Upper,
POINT (-6.531829 53.3390496),cafe,Costa,,
POINT (-6.2595039 53.3408606),restaurant,Indie Dhaba,,
POINT (-6.2598654 53.3475517),cafe,The Rolling Donut,Bachelors Walk,Dublin
POINT (-6.2596606 53.3408789),restaurant,Chili Club,,
POINT (-6.3568639 53.3416494),bar,Tim Young's,,
POINT (-6.2829472 53.3115144),cafe,Six West,Terenure Road North,Dublin
POINT (-6.2676661 53.3472784),restaurant,Doppio Zero,Upper Abbey Street,Dublin
POINT (-6.264917 53.346893),cafe,Mind the Step,Great Strand Street,Dublin
POINT (-6.2610483 53.3424988),restaurant,YO! Sushi,Clarendon Street,Dublin
