,,,,,,A,B
drinking_water:refill:network,,,bench,,,,
payment:laser,,,pub,,,,
payment:maestro,,,parking,,,,
craft,,,bank,,,,
phone:mobile,,,pub,,,,
vending_1,,,atm,,,,
building:levels,,,fast_food,,,,
gender_access,,,pharmacy,,,,
old_name:2017,,,pharmacy,,,,
diet:halal,,,post_box,,,,
bottle,,,recycling,,,,
contact:wordpress,,,post_box,,,,
automated,,,post_box,,,,
amenity_1,,,fast_food,,,,
parcel_mail_in,,,taxi,,,,
contact:foursquare,,,cafe,,,,
contact:tripadvisor,,,pub,,,,
contact:yelp,,,pub,,,,
diet:meat,,,post_office,,,,
diet:pescetarian,,,pharmacy,,,,
payment:visa_debit,,,pub,,,,
stars,,,pub,,,,
monitoring:bicycle,,,pub,,,,
thermometer,,,pub,,,,
payment:membership_card,,,pharmacy,,,,
disused:shop,,,veterinary,,,,
childcare,,,pub,,,,
recycling:furniture,,,pub,,,,
bench,,,pub,,,,
bin,,,pub,,,,
passenger_information_display,,,pharmacy,,,,
route_ref,,,post_office,,,,
alt_phone,,,post_office,,,,
check_date:recycling,,,pub,,,,
office,,,atm,,,,
authentication:app,,,parking,,,,
authentication:contactless,,,place_of_worship,,,,
check_date:wheelchair,,,parking,,,,
charging_station:capacity,,,parking,,,,
manometer,,,parking,,,,
doctors,,,parking,,,,
source:vending,,,parking,,,,
source:amenity,,,fuel,,,,
old_website,,,post_box,,,,
contact:flickr,,,post_box,,,,
phone_alt,,,fountain,,,,
drive_in,,,parking,,,,
clock,,,dentist,,,,
protestant,,,post_box,,,,
public_bookcase:type,,,taxi,,,,
service:bicycle:pump,,,toilets,,,,
service:bicycle:tools,,,fuel,,,,
club,,,atm,,,,
height,,,atm,,,,
tower:construction,,,atm,,,,
tower:material,,,bank,,,,
tower:type,,,fast_food,,,,
phases,,,parking,,,,
payment:LeapCard,,,drinking_water,,,,
source:cuisine,,,post_office,,,,
min_age,,,post_box,,,,
cold_water,,,parking,,,,
highchair,,,post_box,,,,
ref:vatin,,,atm,,,,
contact:soundcloud,,,recycling,,,,
toilets:unisex,,,bicycle_parking,,,,
smoothness,,,recycling,,,,
drink:juice,,,recycling,,,,
name:es,,,fast_food,,,,
name:pt,,,cafe,,,,
service_times,,,post_office,,,,
capacity:women,,,fuel,,,,
nursery,,,pub,,,,
loc8,,,parking,,,,
noname,,,recycling,,,,
sanitary_dump_station,,,pub,,,,
product,,,shelter,,,,
microbrewery,,,shelter,,,,
contact:mobile,,,shelter,,,,
memorial,,,shelter,,,,
animal_boarding,,,shelter,,,,
service:bicycle:chain_tool,,,shelter,,,,
language:en,,,shelter,,,,
recycling:printer_cartridges,,,fast_food,,,,
departures_board,,,waste_disposal,,,,
image,,,toilets,,,,
sport,,,toilets,,,,
parcel_pickup,,,waste_disposal,,,,
photo,,,waste_disposal,,,,
drink:coffee,,,restaurant,,,,
drink:tea,,,post_office,,,,
changing_table:location,,,atm,,,,
check_date:shelter,,,post_box,,,,
generator:source,,,post_box,,,,
contact:skype,,,bank,,,,
payment:american_express,,,post_box,,,,
disabled,,,telephone,,,,
dance:style,,,toilets,,,,
max_age,,,fuel,,,,
dog,,,fuel,,,,
not:name,,,post_office,,,,
year_of_construction,,,library,,,,
fountain,,,restaurant,,,,
hot_water,,,clock,,,,
address,,,pub,,,,
name:de,,,pub,,,,
community_centre,,,post_office,,,,
mobile,,,recycling,,,,
fee:conditional,,,cafe,,,,
authentication:none,,,post_box,,,,
wine,,,restaurant,,,,
name:ru,,,cafe,,,,
fuel:cng,,,recycling,,,,
charge,,,pub,,,,
socket:combo,,,recycling,,,,
socket:combo:output,,,pub,,,,
animal_breeding,,,fuel,,,,
room,,,post_box,,,,
fuel:gas,,,post_office,,,,
fuel:lpg,,,restaurant,,,,
currency:XBT,,,post_office,,,,
payment:lightning,,,bank,,,,
payment:lightning_contactless,,,bank,,,,
payment:onchain,,,telephone,,,,
capacity:cargo_bike,,,fast_food,,,,
cargo_bike,,,post_box,,,,
stroller,,,recycling,,,,
bank:type,,,parking_entrance,,,,
vacuum_cleaner,,,post_office,,,,
fence_type,,,restaurant,,,,
recycling:compost,,,fast_food,,,,
ski:rental,,,fast_food,,,,
facebook,,,pharmacy,,,,
name:zh-Hans,,,cafe,,,,
parking:fee,,,cafe,,,,
ref:IE:smr,,,cafe,,,,
alcohol,,,recycling,,,,
parcel_receiving,,,recycling,,,,
payment:apple_pay,,,recycling,,,,
payment:google_pay,,,recycling,,,,
wheelchair:description:en,,,recycling,,,,
glass_bottles,,,recycling,,,,
outdoor,,,recycling,,,,
books,,,recycling,,,,
second_hand,,,recycling,,,,
check_date:currency:XBT,,,recycling,,,,
water_tap:mount,,,recycling,,,,
payment:app,,,recycling,,,,
payment:sms,,,recycling,,,,
recycling:aluminium_cans,,,recycling,,,,
street_cabinet,,,recycling,,,,
toilets:number,,,recycling,,,,
post_box:design,,,recycling,,,,
socket:tesla_supercharger_ccs,,,recycling,,,,
socket:tesla_supercharger_ccs:output,,,recycling,,,,
street_vendor,,,recycling,,,,
